player_id,game_id,team,position,offense_snaps,defense_snaps,st_snaps,offense_pct,defense_pct,st_pct
,2025_01_BAL_BUF,BAL,WR,0.0,0.0,21.0,0.0,0.0,0.6
,2025_01_BAL_BUF,BAL,K,0.0,0.0,15.0,0.0,0.0,0.43
,2025_01_BAL_BUF,BAL,LS,0.0,0.0,10.0,0.0,0.0,0.29
,2025_01_BAL_BUF,BAL,P,0.0,0.0,10.0,0.0,0.0,0.29
,2025_01_BAL_BUF,BAL,T,0.0,0.0,7.0,0.0,0.0,0.2
,2025_01_BAL_BUF,BAL,WR,0.0,0.0,4.0,0.0,0.0,0.11
,2025_01_CAR_JAX,JAX,OL,66.0,0.0,6.0,1.0,0.0,0.27
,2025_01_CAR_JAX,JAX,OL,66.0,0.0,6.0,1.0,0.0,0.27
,2025_01_CAR_JAX,JAX,OL,66.0,0.0,0.0,1.0,0.0,0.0
,2025_01_CAR_JAX,JAX,QB,66.0,0.0,0.0,1.0,0.0,0.0
,2025_01_CAR_JAX,JAX,OL,64.0,0.0,6.0,0.97,0.0,0.27
,2025_01_CAR_JAX,JAX,OL,58.0,0.0,0.0,0.88,0.0,0.0
,2025_01_CAR_JAX,JAX,WR,57.0,0.0,0.0,0.86,0.0,0.0
,2025_01_CAR_JAX,JAX,TE,52.0,0.0,1.0,0.79,0.0,0.05
,2025_01_CAR_JAX,JAX,WR,47.0,0.0,0.0,0.71,0.0,0.0
,2025_01_CAR_JAX,JAX,WR,42.0,6.0,0.0,0.64,0.09,0.0
,2025_01_CAR_JAX,JAX,RB,40.0,0.0,0.0,0.61,0.0,0.0
,2025_01_CAR_JAX,JAX,TE,33.0,0.0,9.0,0.5,0.0,0.41
,2025_01_CAR_JAX,JAX,WR,17.0,0.0,3.0,0.26,0.0,0.14
,2025_01_CAR_JAX,JAX,RB,14.0,0.0,7.0,0.21,0.0,0.32
,2025_01_CAR_JAX,JAX,OL,10.0,0.0,6.0,0.15,0.0,0.27
,2025_01_CAR_JAX,JAX,RB,9.0,0.0,2.0,0.14,0.0,0.09
,2025_01_CAR_JAX,JAX,WR,7.0,0.0,0.0,0.11,0.0,0.0
,2025_01_CAR_JAX,JAX,TE,6.0,0.0,18.0,0.09,0.0,0.82
,2025_01_CAR_JAX,JAX,RB,4.0,0.0,5.0,0.06,0.0,0.23
,2025_01_CAR_JAX,JAX,OL,2.0,0.0,6.0,0.03,0.0,0.27
,2025_01_CAR_JAX,JAX,LB,0.0,64.0,3.0,0.0,1.0,0.14
,2025_01_CAR_JAX,JAX,CB,0.0,64.0,0.0,0.0,1.0,0.0
,2025_01_CAR_JAX,JAX,CB,0.0,64.0,0.0,0.0,1.0,0.0
,2025_01_CAR_JAX,JAX,S,0.0,63.0,3.0,0.0,0.98,0.14
,2025_01_CAR_JAX,JAX,S,0.0,62.0,10.0,0.0,0.97,0.45
,2025_01_CAR_JAX,JAX,DT,0.0,49.0,0.0,0.0,0.77,0.0
,2025_01_CAR_JAX,JAX,DE,0.0,48.0,1.0,0.0,0.75,0.05
,2025_01_CAR_JAX,JAX,CB,0.0,47.0,11.0,0.0,0.73,0.5
,2025_01_CAR_JAX,JAX,DE,0.0,46.0,2.0,0.0,0.72,0.09
,2025_01_CAR_JAX,JAX,DE,0.0,35.0,0.0,0.0,0.55,0.0
,2025_01_CAR_JAX,JAX,S,0.0,28.0,0.0,0.0,0.44,0.0
,2025_01_CAR_JAX,JAX,DT,0.0,24.0,2.0,0.0,0.38,0.09
,2025_01_CAR_JAX,JAX,DL,0.0,23.0,1.0,0.0,0.36,0.05
,2025_01_CAR_JAX,JAX,LB,0.0,22.0,8.0,0.0,0.34,0.36
,2025_01_CAR_JAX,JAX,LB,0.0,17.0,16.0,0.0,0.27,0.73
,2025_01_CAR_JAX,JAX,LB,0.0,16.0,6.0,0.0,0.25,0.27
,2025_01_CAR_JAX,JAX,DL,0.0,13.0,2.0,0.0,0.2,0.09
,2025_01_CAR_JAX,JAX,DT,0.0,12.0,0.0,0.0,0.19,0.0
,2025_01_CAR_JAX,JAX,S,0.0,1.0,15.0,0.0,0.02,0.68
,2025_01_CAR_JAX,JAX,LB,0.0,0.0,13.0,0.0,0.0,0.59
,2025_01_CAR_JAX,JAX,S,0.0,0.0,13.0,0.0,0.0,0.59
,2025_01_CAR_JAX,JAX,K,0.0,0.0,13.0,0.0,0.0,0.59
,2025_01_CAR_JAX,JAX,CB,0.0,0.0,13.0,0.0,0.0,0.59
,2025_01_CAR_JAX,JAX,LB,0.0,0.0,13.0,0.0,0.0,0.59
,2025_01_CAR_JAX,JAX,LS,0.0,0.0,8.0,0.0,0.0,0.36
,2025_01_CAR_JAX,JAX,P,0.0,0.0,8.0,0.0,0.0,0.36
,2025_01_CAR_JAX,JAX,OL,0.0,0.0,6.0,0.0,0.0,0.27
,2025_01_CAR_JAX,CAR,G,64.0,0.0,2.0,1.0,0.0,0.09
,2025_01_CAR_JAX,CAR,T,64.0,0.0,2.0,1.0,0.0,0.09
,2025_01_CAR_JAX,CAR,T,64.0,0.0,2.0,1.0,0.0,0.09
,2025_01_CAR_JAX,CAR,G,64.0,0.0,2.0,1.0,0.0,0.09
